session,total_delayed,total_trials,pct_delayed
1,0,249,0.0
2,0,252,0.0
3,0,237,0.0
4,0,225,0.0
5,0,276,0.0
6,0,222,0.0
7,0,213,0.0
8,0,192,0.0
9,0,270,0.0
10,0,234,0.0
11,0,177,0.0
12,0,204,0.0
13,0,225,0.0
14,0,195,0.0
15,0,288,0.0
16,0,243,0.0
17,0,222,0.0
18,0,228,0.0
19,0,95,0.0
20,0,261,0.0
21,0,273,0.0
22,0,219,0.0
